wellNumber,wellName,chemID_1,concentration_1,strain,ageDpf,minutesIncubation,notes
1,A01,DMSO,0,Singapore,7,0100,NA
2,A02,DMSO,0,Singapore,7,0100,NA
3,A03,DMSO,0,Singapore,7,0100,NA
4,A04,DMSO,0,Singapore,7,0100,NA
5,A05,DMSO,0,Singapore,7,0100,NA
6,A06,DMSO,0,Singapore,7,0100,NA
7,A07,DMSO,0,Singapore,7,0100,NA
8,A08,DMSO,0,Singapore,7,0100,NA
9,A09,DMSO,0,Singapore,7,0100,NA
10,A10,DMSO,0,Singapore,7,0100,NA
11,A11,DMSO,0,Singapore,7,0100,NA
12,A12,DMSO,0,Singapore,7,0100,NA
13,B01,Clozapine,1.5625,Singapore,7,0100,NA
14,B02,Clozapine,1.5625,Singapore,7,0100,NA
15,B03,Clozapine,1.5625,Singapore,7,0100,NA
16,B04,Clozapine,1.5625,Singapore,7,0100,NA
17,B05,Clozapine,1.5625,Singapore,7,0100,NA
18,B06,Clozapine,1.5625,Singapore,7,0100,NA
19,B07,Clozapine,1.5625,Singapore,7,0100,NA
20,B08,Clozapine,1.5625,Singapore,7,0100,NA
21,B09,Clozapine,1.5625,Singapore,7,0100,NA
22,B10,Clozapine,1.5625,Singapore,7,0100,NA
23,B11,Clozapine,1.5625,Singapore,7,0100,NA
24,B12,Clozapine,1.5625,Singapore,7,0100,NA
25,C01,Clozapine,3.125,Singapore,7,0100,NA
26,C02,Clozapine,3.125,Singapore,7,0100,NA
27,C03,Clozapine,3.125,Singapore,7,0100,NA
28,C04,Clozapine,3.125,Singapore,7,0100,NA
29,C05,Clozapine,3.125,Singapore,7,0100,NA
30,C06,Clozapine,3.125,Singapore,7,0100,NA
31,C07,Clozapine,3.125,Singapore,7,0100,NA
32,C08,Clozapine,3.125,Singapore,7,0100,NA
33,C09,Clozapine,3.125,Singapore,7,0100,NA
34,C10,Clozapine,3.125,Singapore,7,0100,NA
35,C11,Clozapine,3.125,Singapore,7,0100,NA
36,C12,Clozapine,3.125,Singapore,7,0100,NA
37,D01,Clozapine,6.25,Singapore,7,0100,NA
38,D02,Clozapine,6.25,Singapore,7,0100,NA
39,D03,Clozapine,6.25,Singapore,7,0100,NA
40,D04,Clozapine,6.25,Singapore,7,0100,NA
41,D05,Clozapine,6.25,Singapore,7,0100,NA
42,D06,Clozapine,6.25,Singapore,7,0100,NA
43,D07,Clozapine,6.25,Singapore,7,0100,NA
44,D08,Clozapine,6.25,Singapore,7,0100,NA
45,D09,Clozapine,6.25,Singapore,7,0100,NA
46,D10,Clozapine,6.25,Singapore,7,0100,NA
47,D11,Clozapine,6.25,Singapore,7,0100,NA
48,D12,Clozapine,6.25,Singapore,7,0100,NA
49,E01,Clozapine,12.5,Singapore,7,0100,NA
50,E02,Clozapine,12.5,Singapore,7,0100,NA
51,E03,Clozapine,12.5,Singapore,7,0100,NA
52,E04,Clozapine,12.5,Singapore,7,0100,NA
53,E05,Clozapine,12.5,Singapore,7,0100,NA
54,E06,Clozapine,12.5,Singapore,7,0100,NA
55,E07,Clozapine,12.5,Singapore,7,0100,NA
56,E08,Clozapine,12.5,Singapore,7,0100,NA
57,E09,Clozapine,12.5,Singapore,7,0100,NA
58,E10,Clozapine,12.5,Singapore,7,0100,NA
59,E11,Clozapine,12.5,Singapore,7,0100,NA
60,E12,Clozapine,12.5,Singapore,7,0100,NA
61,F01,Clozapine,25,Singapore,7,0100,NA
62,F02,Clozapine,25,Singapore,7,0100,NA
63,F03,Clozapine,25,Singapore,7,0100,NA
64,F04,Clozapine,25,Singapore,7,0100,NA
65,F05,Clozapine,25,Singapore,7,0100,NA
66,F06,Clozapine,25,Singapore,7,0100,NA
67,F07,Clozapine,25,Singapore,7,0100,NA
68,F08,Clozapine,25,Singapore,7,0100,NA
69,F09,Clozapine,25,Singapore,7,0100,NA
70,F10,Clozapine,25,Singapore,7,0100,NA
71,F11,Clozapine,25,Singapore,7,0100,NA
72,F12,Clozapine,25,Singapore,7,0100,NA
73,G01,Clozapine,50,Singapore,7,0100,NA
74,G02,Clozapine,50,Singapore,7,0100,NA
75,G03,Clozapine,50,Singapore,7,0100,NA
76,G04,Clozapine,50,Singapore,7,0100,NA
77,G05,Clozapine,50,Singapore,7,0100,NA
78,G06,Clozapine,50,Singapore,7,0100,NA
79,G07,Clozapine,50,Singapore,7,0100,NA
80,G08,Clozapine,50,Singapore,7,0100,NA
81,G09,Clozapine,50,Singapore,7,0100,NA
82,G10,Clozapine,50,Singapore,7,0100,NA
83,G11,Clozapine,50,Singapore,7,0100,NA
84,G12,Clozapine,50,Singapore,7,0100,NA
85,H01,Clozapine,100,Singapore,7,0100,NA
86,H02,Clozapine,100,Singapore,7,0100,NA
87,H03,Clozapine,100,Singapore,7,0100,NA
88,H04,Clozapine,100,Singapore,7,0100,NA
89,H05,Clozapine,100,Singapore,7,0100,NA
90,H06,Clozapine,100,Singapore,7,0100,NA
91,H07,Clozapine,100,Singapore,7,0100,NA
92,H08,Clozapine,100,Singapore,7,0100,NA
93,H09,Clozapine,100,Singapore,7,0100,NA
94,H10,Clozapine,100,Singapore,7,0100,NA
95,H11,Clozapine,100,Singapore,7,0100,NA
96,H12,Clozapine,100,Singapore,7,0100,NA
