assayOrder,start,stop,nFrames
background,0,750,750
softTap1,750,1500,750
softTapTrain,1500,2250,750
ASR1,2250,3000,750
ASRtrain,3000,3750,750
VSR1,3750,4500,750
VSR2,4500,5250,750
VSR3,5250,6000,750
VSR4,6000,6750,750
ASRi,6750,7500,750
SolidRed,7500,8250,750
VSRASR,8250,11250,3000
Mp3Audio,11250,12000,750
background,12000,12750,750
Mp3AudioTrain1M,12750,14250,1500
StrobeBlue250ms2,14250,16125,1875
StrobeGreen250ms,16125,17875,1750
background,17875,18625,750
softMp3Audio,18625,19375,750
PurpleLED1M,19375,21250,1875
